JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==> Parameters: 12110704(String)
<==    Columns: type
<==        Row: Contracts Manager
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ImageAlarm30(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ImageAlarm30(String)
<==    Columns: difference
<==        Row: 900
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11411616(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000111(String), Huawei(String), ImageAlarm30(String), 1(Long), 11110306(String), 2022-01-11(Date), 2022-01-16(Date), 2022-01-16(Date), 11411616(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: ImageAlarm30(String)
<==    Columns: unit_price
<==        Row: 150
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 150(Long), Southern China(String), ImageAlarm30(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000111(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 11110306(String)
<==    Columns: name
<==        Row: You Qicheng
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000111(String), You Qicheng(String), Huawei(String), Southern China(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Huawei(String)
<==    Columns: supply_center
<==        Row: Southern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ImageAlarm30(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ImageAlarm30(String)
<==    Columns: difference
<==        Row: 899
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12010421(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), ServerMemoryA4(String)
<==    Columns: num
<==        Row: 0
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), CasetteLibraryT2(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Southern China(String), CasetteLibraryT2(String)
<==    Columns: difference
<==        Row: 192
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11710812(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000111(String), Huawei(String), CasetteLibraryT2(String), 1(Long), 11110306(String), 2022-01-11(Date), 2022-01-16(Date), 2022-01-16(Date), 11710812(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: CasetteLibraryT2(String)
<==    Columns: unit_price
<==        Row: 430
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 430(Long), Southern China(String), CasetteLibraryT2(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000111(String)
<==    Columns: contract_number
<==        Row: CSE0000111
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000111(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Bilibili(String)
<==    Columns: supply_center
<==        Row: Eastern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), RangeHoodO1(String)
<==    Columns: num
<==        Row: 0
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), OpticalTransceiver15(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), OpticalTransceiver15(String)
<==    Columns: difference
<==        Row: 960
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11511213(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), VideoServer94(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), VideoServer94(String)
<==    Columns: difference
<==        Row: 613
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12112203(String)
<==    Columns: type
<==        Row: Contracts Manager
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), UpsPowerShredderT7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Eastern China(String), UpsPowerShredderT7(String)
<==    Columns: difference
<==        Row: 687
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11310020(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000112(String), Bilibili(String), UpsPowerShredderT7(String), 1(Long), 11310829(String), 2022-01-12(Date), 2022-01-17(Date), 2022-01-17(Date), 11310020(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: UpsPowerShredderT7(String)
<==    Columns: unit_price
<==        Row: 270
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 270(Long), Eastern China(String), UpsPowerShredderT7(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000112(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 11310829(String)
<==    Columns: name
<==        Row: Bob Lewis
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000112(String), Bob Lewis(String), Bilibili(String), Eastern China(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Sinopec(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), Air-ConditioningFan51(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), Air-ConditioningFan51(String)
<==    Columns: difference
<==        Row: 281
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11411312(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000113(String), Sinopec(String), Air-ConditioningFan51(String), 1(Long), 11110313(String), 2022-01-13(Date), 2022-01-18(Date), 2022-01-18(Date), 11411312(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: Air-ConditioningFan51(String)
<==    Columns: unit_price
<==        Row: 530
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 530(Long), Northern China(String), Air-ConditioningFan51(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000113(String)
<==      Total: 0
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select name from staff where number = ? 
==> Parameters: 11110313(String)
<==    Columns: name
<==        Row: Tommy Davies
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: INSERT INTO contract ( contract_number, contract_manager_name, enterprise, supply_center, ordernum ) VALUES ( ?, ?, ?, ?, ? ) 
==> Parameters: CSE0000113(String), Tommy Davies(String), Sinopec(String), Northern China(String), 1(Long)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Sinopec(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), NotebookAccessoriesA7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), NotebookAccessoriesA7(String)
<==    Columns: difference
<==        Row: 500
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12212618(String)
<==    Columns: type
<==        Row: Contracts Manager
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ComputerRemoteControlG0(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ComputerRemoteControlG0(String)
<==    Columns: difference
<==        Row: 946
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 12212700(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: insert into order_record(contract_num,enterprise,product_model,quantity,contract_manager,contract_date,estimated_delivery_date,lodgement_date,salesman_num,contract_type) values(?,?,?,?,?,?,?,?,?,?) 
==> Parameters: CSE0000113(String), Sinopec(String), ComputerRemoteControlG0(String), 1(Long), 11110313(String), 2022-01-13(Date), 2022-01-18(Date), 2022-01-18(Date), 12212700(String), Finished(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select unit_price from model where model = ? 
==> Parameters: ComputerRemoteControlG0(String)
<==    Columns: unit_price
<==        Row: 790
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update inventory set exportNum = exportNum + ? , totalinterest = totalinterest + ?,placeordernum = placeordernum +1 where supply_center = ? and product_model = ? 
==> Parameters: 1(Long), 790(Long), Northern China(String), ComputerRemoteControlG0(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select contract_number from contract where contract_number = ? 
==> Parameters: CSE0000113(String)
<==    Columns: contract_number
<==        Row: CSE0000113
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: update contract set ordernum = ordernum + 1 where contract_number = ? 
==> Parameters: CSE0000113(String)
<==    Updates: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Sinopec(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), ServerBarebones96(String)
<==    Columns: num
<==        Row: 0
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), CustomerManagementSoftwareCrm49(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), CustomerManagementSoftwareCrm49(String)
<==    Columns: difference
<==        Row: 993
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select type from staff where staff.number = ? 
==> Parameters: 11311619(String)
<==    Columns: type
<==        Row: Salesman
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select supply_center from enterprise where name = ? 
==> Parameters: Bank Of China(String)
<==    Columns: supply_center
<==        Row: Northern China
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select count(*) as num from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), OfficeSoftwareD7(String)
<==    Columns: num
<==        Row: 1
<==      Total: 1
Releasing transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3]
Fetched SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@464400b3] from current transaction
==>  Preparing: select (importnum - exportnum) as difference from inventory where supply_center = ? and product_model = ? 
==> Parameters: Northern China(String), OfficeSoftwareD7(String)
<==    Columns: difference
<==        Row: 502
